# Based on the WLTC drive cycle,
# see #1264 for discussion and how to use this drive cycle,
# time [s],Power [W]
128,0
128.1,0
128.2,0
128.3,0
128.4,0
128.5,0
128.6,0
128.7,0
128.8,0
128.9,0
129,0
129.1,0
129.2,0
129.3,0
129.4,0
129.5,0
129.6,0
129.7,0
129.8,0
129.9,0
130,0
130.1,0
130.2,0
130.3,0
130.4,0
130.5,0
130.6,0
130.7,0
130.8,0
130.9,0
131,0
131.1,0
131.2,0
131.3,0
131.4,0
131.5,0
131.6,0
131.7,0
131.8,0
131.9,0
132,0
132.1,0
132.2,0
132.3,0
132.4,0
132.5,0
132.6,0
132.7,0
132.8,0
132.9,0
133,0
133.1,0
133.2,0
133.3,0
133.4,0
133.5,0
133.6,0
133.7,0
133.8,0
133.9,0
134,0
134.1,0
134.2,0
134.3,0
134.4,0
134.5,0
134.6,0
134.7,0
134.8,0
134.9,0
135,0
135.1,0
135.2,0
135.3,0
135.4,0
135.5,0
135.6,0
135.7,0
135.8,0
135.9,0
136,0
136.1,0
136.2,0
136.3,0
136.4,0
136.5,0
136.6,0
136.7,0
136.8,0
136.9,0
137,0
137.1,0.00038311
137.2,0.000766235
137.3,0.001149373
137.4,0.001532526
137.5,0.001915692
137.6,0.002298874
137.7,0.002682069
137.8,0.00306528
137.9,0.003448505
138,0.003831744
138.1,0.028788325
138.2,0.042017147
138.3,0.055247149
138.4,0.068478386
138.5,0.081710913
138.6,0.094944783
138.7,0.108180052
138.8,0.121416774
138.9,0.134655004
139,0.147894797
139.1,0.407370349
139.2,0.481149259
139.3,0.554939685
139.4,0.62874245
139.5,0.702558378
139.6,0.776388292
139.7,0.850233015
139.8,0.924093369
139.9,0.99797018
140,1.071864269
140.1,1.534951746
140.2,1.664191115
140.3,1.793466568
140.4,1.922780057
140.5,2.052133532
140.6,2.181528945
140.7,2.310968247
140.8,2.44045339
140.9,2.569986325
141,2.699569004
141.1,2.380144148
141.2,2.472440699
141.3,2.564775971
141.4,2.657151117
141.5,2.749567292
141.6,2.842025649
141.7,2.934527341
141.8,3.027073523
141.9,3.119665348
142,3.212303969
142.1,1.829502519
